deviceCPUCyles,deviceCost,lbExecTime,lbFailureProb,serviceCost,serviceFailureProb,d1Services,d2Services,d3Services,scenario,policy,model,cost,executionTime,probSuccessfulExecution,policy_config
109,23,49,27,5,18,0,0,1,343,1,archexploration,28,94,60,0_0_1
138,15,18,22,4,10,0,0,1,344,1,archexploration,19,81,71,0_0_1
104,21,44,30,3,48,0,0,1,345,1,archexploration,24,72,37,0_0_1
109,12,11,15,3,36,0,0,1,346,1,archexploration,15,46,55,0_0_1
147,13,11,18,1,27,0,0,1,347,1,archexploration,14,65,60,0_0_1
116,38,16,21,5,37,0,0,1,348,1,archexploration,43,53,50,0_0_1
101,3,32,28,1,34,0,0,1,349,1,archexploration,4,66,48,0_0_1
110,40,36,11,3,21,0,0,1,350,1,archexploration,43,80,71,0_0_1
135,23,36,35,3,37,0,0,1,351,1,archexploration,26,79,41,0_0_1
134,18,38,43,3,34,0,0,1,352,1,archexploration,21,83,38,0_0_1
109,25,32,41,4,28,0,0,1,353,1,archexploration,29,72,43,0_0_1
129,37,49,26,4,50,0,0,1,354,1,archexploration,41,82,37,0_0_1
122,1,18,13,5,14,0,0,1,355,1,archexploration,6,71,75,0_0_1
127,32,34,36,5,49,0,0,1,356,1,archexploration,37,67,33,0_0_1
147,37,44,19,2,29,0,0,1,357,1,archexploration,39,97,58,0_0_1
134,20,38,11,4,16,0,0,1,358,1,archexploration,24,95,75,0_0_1
146,31,16,37,1,50,0,0,1,359,1,archexploration,32,53,32,0_0_1
108,20,37,47,3,47,0,0,1,360,1,archexploration,23,66,29,0_0_1
124,15,30,47,2,15,0,0,1,361,1,archexploration,17,83,46,0_0_1
111,15,38,16,2,15,0,0,1,362,1,archexploration,17,86,72,0_0_1
130,14,14,23,3,25,0,0,1,363,1,archexploration,17,63,58,0_0_1
108,23,42,43,3,28,0,0,1,364,1,archexploration,26,81,42,0_0_1
112,4,27,11,3,20,0,0,1,365,1,archexploration,7,72,72,0_0_1
140,4,41,19,4,39,0,0,1,366,1,archexploration,8,84,50,0_0_1
140,31,12,26,3,23,0,0,1,367,1,archexploration,34,66,57,0_0_1
120,4,44,13,4,22,0,0,1,368,1,archexploration,8,91,68,0_0_1
112,38,22,40,4,36,0,0,1,369,1,archexploration,42,58,39,0_0_1
126,18,39,23,3,17,0,0,1,370,1,archexploration,21,92,64,0_0_1
112,9,45,34,3,25,0,0,1,371,1,archexploration,12,87,50,0_0_1
130,27,27,16,5,18,0,0,1,372,1,archexploration,32,81,69,0_0_1
103,8,28,12,2,28,0,0,1,373,1,archexploration,10,66,64,0_0_1
149,22,37,45,1,38,0,0,1,374,1,archexploration,23,84,35,0_0_1
145,28,21,11,1,50,0,0,1,375,1,archexploration,29,58,45,0_0_1
105,17,32,25,4,41,0,0,1,376,1,archexploration,21,63,45,0_0_1
119,9,43,21,4,34,0,0,1,377,1,archexploration,13,83,53,0_0_1
118,18,47,30,4,11,0,0,1,378,1,archexploration,22,100,63,0_0_1
101,14,15,33,2,45,0,0,1,379,1,archexploration,16,43,37,0_0_1
116,3,22,37,5,17,0,0,1,380,1,archexploration,8,71,53,0_0_1
121,30,17,30,4,14,0,0,1,381,1,archexploration,34,70,61,0_0_1
111,4,30,27,5,19,0,0,1,382,1,archexploration,9,75,60,0_0_1
117,21,50,12,4,33,0,0,1,383,1,archexploration,25,90,59,0_0_1
143,1,17,36,2,24,0,0,1,384,1,archexploration,3,72,49,0_0_1
144,12,38,35,3,39,0,0,1,385,1,archexploration,15,82,40,0_0_1
106,12,11,43,1,29,0,0,1,386,1,archexploration,13,49,41,0_0_1
102,12,16,11,1,24,0,0,1,387,1,archexploration,13,55,68,0_0_1
118,18,21,26,4,13,0,0,1,388,1,archexploration,22,73,65,0_0_1
117,8,28,39,5,40,0,0,1,389,1,archexploration,13,64,37,0_0_1
106,29,21,28,1,32,0,0,1,390,1,archexploration,30,58,49,0_0_1
109,34,12,11,3,26,0,0,1,391,1,archexploration,37,53,66,0_0_1
120,8,49,29,1,41,0,0,1,392,1,archexploration,9,85,42,0_0_1
142,15,43,41,4,19,0,0,1,393,1,archexploration,19,101,48,0_0_1
111,31,29,24,2,30,0,0,1,394,1,archexploration,33,68,54,0_0_1
118,1,12,24,5,16,0,0,1,395,1,archexploration,6,62,64,0_0_1
147,17,46,13,1,48,0,0,1,396,1,archexploration,18,85,46,0_0_1
145,15,10,33,1,15,0,0,1,397,1,archexploration,16,72,57,0_0_1
122,25,44,37,1,31,0,0,1,398,1,archexploration,26,87,44,0_0_1
108,5,27,41,4,19,0,0,1,399,1,archexploration,9,71,48,0_0_1
120,5,18,22,4,48,0,0,1,400,1,archexploration,9,50,41,0_0_1
136,19,39,35,1,37,0,0,1,401,1,archexploration,20,82,41,0_0_1
123,7,34,42,1,47,0,0,1,402,1,archexploration,8,67,31,0_0_1
101,26,30,41,2,28,0,0,1,403,1,archexploration,28,67,43,0_0_1
129,17,31,50,3,13,0,0,1,404,1,archexploration,20,88,44,0_0_1
115,21,25,43,2,33,0,0,1,405,1,archexploration,23,64,39,0_0_1
116,26,21,19,4,36,0,0,1,406,1,archexploration,30,59,52,0_0_1
119,33,15,44,4,22,0,0,1,407,1,archexploration,37,62,44,0_0_1
129,1,25,34,2,29,0,0,1,408,1,archexploration,3,71,47,0_0_1
105,29,35,29,2,26,0,0,1,409,1,archexploration,31,74,53,0_0_1
115,24,40,21,5,23,0,0,1,410,1,archexploration,29,85,61,0_0_1
132,38,26,44,3,36,0,0,1,411,1,archexploration,41,69,36,0_0_1
148,39,24,19,1,25,0,0,1,412,1,archexploration,40,80,61,0_0_1
141,33,30,10,3,14,0,0,1,413,1,archexploration,36,91,78,0_0_1
137,29,16,39,3,19,0,0,1,414,1,archexploration,32,72,50,0_0_1
144,0,28,26,2,16,0,0,1,415,1,archexploration,2,89,63,0_0_1
132,3,20,14,5,24,0,0,1,416,1,archexploration,8,71,66,0_0_1
117,22,50,13,3,20,0,0,1,417,1,archexploration,25,97,70,0_0_1
113,32,41,27,5,26,0,0,1,418,1,archexploration,37,83,55,0_0_1
103,36,41,20,5,30,0,0,1,419,1,archexploration,41,78,56,0_0_1
122,21,12,31,5,40,0,0,1,420,1,archexploration,26,49,42,0_0_1
131,27,25,41,3,45,0,0,1,421,1,archexploration,30,62,33,0_0_1
138,8,48,26,1,19,0,0,1,422,1,archexploration,9,104,60,0_0_1
127,5,19,35,3,25,0,0,1,423,1,archexploration,8,67,49,0_0_1
120,35,32,40,2,41,0,0,1,424,1,archexploration,37,68,36,0_0_1
150,24,26,15,1,27,0,0,1,425,1,archexploration,25,81,63,0_0_1
100,40,23,27,1,16,0,0,1,426,1,archexploration,41,65,62,0_0_1
107,4,29,12,4,24,0,0,1,427,1,archexploration,8,70,67,0_0_1
105,22,43,45,4,33,0,0,1,428,1,archexploration,26,79,37,0_0_1
129,31,33,23,1,37,0,0,1,429,1,archexploration,32,74,49,0_0_1
107,32,47,49,4,17,0,0,1,430,1,archexploration,36,92,43,0_0_1
102,11,23,42,3,37,0,0,1,431,1,archexploration,14,56,37,0_0_1
109,28,14,29,1,23,0,0,1,432,1,archexploration,29,56,55,0_0_1
109,14,41,30,1,25,0,0,1,433,1,archexploration,15,82,53,0_0_1
133,40,30,42,3,34,0,0,1,434,1,archexploration,43,74,39,0_0_1
129,36,13,34,1,12,0,0,1,435,1,archexploration,37,70,59,0_0_1
132,23,40,35,2,41,0,0,1,436,1,archexploration,25,79,39,0_0_1
121,11,41,41,4,29,0,0,1,437,1,archexploration,15,84,42,0_0_1
128,38,30,25,3,37,0,0,1,438,1,archexploration,41,71,48,0_0_1
120,8,25,47,5,13,0,0,1,439,1,archexploration,13,78,47,0_0_1
124,23,32,20,1,21,0,0,1,440,1,archexploration,24,81,64,0_0_1
132,3,33,28,1,42,0,0,1,441,1,archexploration,4,72,42,0_0_1
145,27,47,15,4,21,0,0,1,442,1,archexploration,31,105,68,0_0_1
127,37,50,30,2,41,0,0,1,443,1,archexploration,39,88,42,0_0_1
121,24,42,20,1,18,0,0,1,444,1,archexploration,25,92,66,0_0_1
110,4,35,32,1,38,0,0,1,445,1,archexploration,5,70,43,0_0_1
134,20,10,23,4,33,0,0,1,446,1,archexploration,24,55,52,0_0_1
100,15,46,20,2,37,0,0,1,447,1,archexploration,17,78,51,0_0_1
139,27,40,46,1,11,0,0,1,448,1,archexploration,28,102,49,0_0_1
135,2,47,34,2,18,0,0,1,449,1,archexploration,4,103,55,0_0_1
106,36,24,10,5,40,0,0,1,450,1,archexploration,41,56,54,0_0_1
149,40,29,31,2,11,0,0,1,451,1,archexploration,42,96,62,0_0_1
120,21,11,24,1,16,0,0,1,452,1,archexploration,22,62,64,0_0_1
100,31,49,37,3,16,0,0,1,453,1,archexploration,34,91,53,0_0_1
150,36,21,33,3,34,0,0,1,454,1,archexploration,39,71,45,0_0_1
142,14,26,45,1,43,0,0,1,455,1,archexploration,15,67,32,0_0_1
106,0,18,34,2,44,0,0,1,456,1,archexploration,2,48,37,0_0_1
148,16,26,47,3,21,0,0,1,457,1,archexploration,19,85,42,0_0_1
106,7,46,11,4,10,0,0,1,458,1,archexploration,11,94,81,0_0_1
100,31,18,31,5,26,0,0,1,459,1,archexploration,36,55,52,0_0_1
124,3,44,40,4,12,0,0,1,460,1,archexploration,7,99,53,0_0_1
123,8,25,47,4,36,0,0,1,461,1,archexploration,12,65,34,0_0_1
146,36,41,45,3,32,0,0,1,462,1,archexploration,39,91,38,0_0_1
139,36,14,32,5,11,0,0,1,463,1,archexploration,41,76,61,0_0_1
123,23,32,11,2,46,0,0,1,464,1,archexploration,25,66,49,0_0_1
127,13,41,19,5,21,0,0,1,465,1,archexploration,18,92,64,0_0_1
145,19,31,23,4,41,0,0,1,466,1,archexploration,23,74,46,0_0_1
118,27,48,19,4,46,0,0,1,467,1,archexploration,31,80,44,0_0_1
141,6,43,42,3,46,0,0,1,468,1,archexploration,9,82,32,0_0_1
121,34,21,45,2,46,0,0,1,469,1,archexploration,36,54,30,0_0_1
147,1,17,37,4,17,0,0,1,470,1,archexploration,5,79,53,0_0_1
128,31,29,33,3,50,0,0,1,471,1,archexploration,34,61,34,0_0_1
135,25,24,19,3,30,0,0,1,472,1,archexploration,28,72,57,0_0_1
134,33,13,10,3,23,0,0,1,473,1,archexploration,36,65,70,0_0_1
115,28,38,30,3,13,0,0,1,474,1,archexploration,31,89,61,0_0_1
146,4,28,47,1,13,0,0,1,475,1,archexploration,5,92,47,0_0_1
133,2,12,33,4,11,0,0,1,476,1,archexploration,6,72,60,0_0_1
103,32,47,16,5,42,0,0,1,477,1,archexploration,37,77,49,0_0_1
145,28,39,39,3,15,0,0,1,478,1,archexploration,31,101,52,0_0_1
102,29,15,14,1,28,0,0,1,479,1,archexploration,30,52,62,0_0_1
126,3,10,16,3,25,0,0,1,480,1,archexploration,6,58,63,0_0_1
137,0,32,20,3,10,0,0,1,481,1,archexploration,3,94,72,0_0_1
132,9,47,23,2,17,0,0,1,482,1,archexploration,11,102,64,0_0_1
134,2,10,36,4,49,0,0,1,483,1,archexploration,6,45,33,0_0_1
126,11,14,48,1,42,0,0,1,484,1,archexploration,12,51,31,0_0_1
142,17,30,15,1,21,0,0,1,485,1,archexploration,18,87,68,0_0_1
150,9,13,34,2,32,0,0,1,486,1,archexploration,11,64,45,0_0_1
130,7,34,30,4,48,0,0,1,487,1,archexploration,11,68,37,0_0_1
114,2,31,45,2,24,0,0,1,488,1,archexploration,4,75,42,0_0_1
107,36,50,42,2,42,0,0,1,489,1,archexploration,38,82,34,0_0_1
131,13,33,31,3,35,0,0,1,490,1,archexploration,16,76,45,0_0_1
114,33,37,49,1,14,0,0,1,491,1,archexploration,34,87,44,0_0_1
125,0,41,20,1,35,0,0,1,492,1,archexploration,1,82,52,0_0_1
134,36,31,12,2,40,0,0,1,493,1,archexploration,38,72,53,0_0_1
148,32,21,15,5,34,0,0,1,494,1,archexploration,37,70,57,0_0_1
138,28,38,29,2,40,0,0,1,495,1,archexploration,30,80,43,0_0_1
141,6,27,33,2,18,0,0,1,496,1,archexploration,8,85,55,0_0_1
149,16,50,12,4,15,0,0,1,497,1,archexploration,20,114,75,0_0_1
149,27,20,17,4,36,0,0,1,498,1,archexploration,31,68,54,0_0_1
113,34,28,48,5,19,0,0,1,499,1,archexploration,39,74,43,0_0_1
150,24,34,44,3,39,0,0,1,500,1,archexploration,27,80,35,0_0_1
146,13,28,45,2,15,0,0,1,501,1,archexploration,15,91,47,0_0_1
133,12,23,42,4,34,0,0,1,502,1,archexploration,16,67,39,0_0_1
135,19,22,38,5,47,0,0,1,503,1,archexploration,24,58,33,0_0_1
142,25,26,10,4,33,0,0,1,504,1,archexploration,29,74,61,0_0_1
146,40,21,49,3,11,0,0,1,505,1,archexploration,43,86,46,0_0_1
126,10,34,15,3,43,0,0,1,506,1,archexploration,13,70,49,0_0_1
132,15,15,35,1,37,0,0,1,507,1,archexploration,16,57,41,0_0_1
130,7,42,29,1,10,0,0,1,508,1,archexploration,8,101,64,0_0_1
112,19,19,46,4,14,0,0,1,509,1,archexploration,23,68,47,0_0_1
135,12,38,24,2,27,0,0,1,510,1,archexploration,14,88,56,0_0_1
138,39,46,50,2,28,0,0,1,511,1,archexploration,41,96,36,0_0_1
128,22,23,39,4,43,0,0,1,512,1,archexploration,26,60,35,0_0_1
109,14,13,18,2,44,0,0,1,513,1,archexploration,16,44,46,0_0_1
101,35,42,35,4,21,0,0,1,514,1,archexploration,39,82,52,0_0_1
150,33,26,18,4,39,0,0,1,515,1,archexploration,37,72,51,0_0_1
114,32,12,36,3,26,0,0,1,516,1,archexploration,35,55,48,0_0_1
150,0,21,50,5,29,0,0,1,517,1,archexploration,5,75,36,0_0_1
117,24,46,14,2,43,0,0,1,518,1,archexploration,26,80,50,0_0_1
102,2,16,25,4,15,0,0,1,519,1,archexploration,6,60,64,0_0_1
114,11,49,24,2,44,0,0,1,520,1,archexploration,13,81,43,0_0_1
139,39,35,10,5,37,0,0,1,521,1,archexploration,44,79,57,0_0_1
143,13,28,31,5,36,0,0,1,522,1,archexploration,18,74,45,0_0_1
105,14,33,38,4,47,0,0,1,523,1,archexploration,18,61,33,0_0_1
123,9,35,11,3,11,0,0,1,524,1,archexploration,12,90,80,0_0_1
133,20,38,28,4,42,0,0,1,525,1,archexploration,24,77,42,0_0_1
150,5,50,14,5,44,0,0,1,526,1,archexploration,10,92,49,0_0_1
140,5,29,13,5,33,0,0,1,527,1,archexploration,10,76,59,0_0_1
118,18,13,44,5,28,0,0,1,528,1,archexploration,23,56,41,0_0_1
110,18,23,36,4,27,0,0,1,529,1,archexploration,22,64,47,0_0_1
134,38,31,37,4,11,0,0,1,530,1,archexploration,42,91,57,0_0_1
114,22,46,14,5,12,0,0,1,531,1,archexploration,27,97,76,0_0_1
101,30,33,50,3,31,0,0,1,532,1,archexploration,33,68,35,0_0_1
103,39,42,43,3,39,0,0,1,533,1,archexploration,42,74,35,0_0_1
129,33,26,46,4,45,0,0,1,534,1,archexploration,37,62,30,0_0_1
142,29,49,17,4,42,0,0,1,535,1,archexploration,33,91,49,0_0_1
117,29,37,40,4,20,0,0,1,536,1,archexploration,33,84,48,0_0_1
108,25,34,21,4,14,0,0,1,537,1,archexploration,29,81,68,0_0_1
117,19,32,49,1,14,0,0,1,538,1,archexploration,20,83,44,0_0_1
115,9,31,25,2,22,0,0,1,539,1,archexploration,11,76,59,0_0_1
127,28,34,17,4,14,0,0,1,540,1,archexploration,32,89,72,0_0_1
147,34,36,29,2,45,0,0,1,541,1,archexploration,36,77,40,0_0_1
138,16,35,44,5,19,0,0,1,542,1,archexploration,21,91,46,0_0_1
137,13,11,19,3,48,0,0,1,543,1,archexploration,16,47,43,0_0_1
110,30,46,22,4,12,0,0,1,544,1,archexploration,34,95,69,0_0_1
107,38,33,28,5,29,0,0,1,545,1,archexploration,43,71,52,0_0_1
105,1,36,33,1,38,0,0,1,546,1,archexploration,2,69,42,0_0_1
139,8,30,27,5,43,0,0,1,547,1,archexploration,13,70,42,0_0_1
126,4,10,17,3,23,0,0,1,548,1,archexploration,7,59,64,0_0_1
139,10,35,44,1,43,0,0,1,549,1,archexploration,11,75,32,0_0_1
125,16,18,17,2,49,0,0,1,550,1,archexploration,18,50,43,0_0_1
121,37,47,20,4,29,0,0,1,551,1,archexploration,41,90,57,0_0_1
103,23,35,10,3,41,0,0,1,552,1,archexploration,26,66,54,0_0_1
102,19,23,46,5,33,0,0,1,553,1,archexploration,24,58,37,0_0_1
131,22,14,12,4,48,0,0,1,554,1,archexploration,26,49,46,0_0_1
130,24,14,30,2,42,0,0,1,555,1,archexploration,26,52,41,0_0_1
124,19,38,22,5,38,0,0,1,556,1,archexploration,24,77,49,0_0_1
138,6,50,27,4,18,0,0,1,557,1,archexploration,10,107,60,0_0_1
125,1,32,33,5,17,0,0,1,558,1,archexploration,6,84,56,0_0_1
113,7,16,13,2,27,0,0,1,559,1,archexploration,9,58,64,0_0_1
117,21,31,33,2,20,0,0,1,560,1,archexploration,23,78,54,0_0_1
136,15,13,25,2,23,0,0,1,561,1,archexploration,17,66,58,0_0_1
128,14,15,36,2,27,0,0,1,562,1,archexploration,16,62,47,0_0_1
127,0,11,48,1,39,0,0,1,563,1,archexploration,1,50,32,0_0_1
126,23,19,12,1,26,0,0,1,564,1,archexploration,24,66,66,0_0_1
143,25,19,18,3,28,0,0,1,565,1,archexploration,28,71,60,0_0_1
136,12,14,38,5,38,0,0,1,566,1,archexploration,17,57,39,0_0_1
104,5,34,16,4,26,0,0,1,567,1,archexploration,9,73,63,0_0_1
123,22,18,24,5,47,0,0,1,568,1,archexploration,27,51,41,0_0_1
113,13,31,50,3,21,0,0,1,569,1,archexploration,16,76,40,0_0_1
141,17,48,46,5,45,0,0,1,570,1,archexploration,22,87,30,0_0_1
115,32,15,49,1,34,0,0,1,571,1,archexploration,33,53,34,0_0_1
146,0,31,18,2,29,0,0,1,572,1,archexploration,2,83,59,0_0_1
104,14,18,48,3,20,0,0,1,573,1,archexploration,17,60,42,0_0_1
131,32,45,18,5,10,0,0,1,574,1,archexploration,37,104,74,0_0_1
100,18,36,38,2,32,0,0,1,575,1,archexploration,20,70,43,0_0_1
116,31,36,40,1,19,0,0,1,576,1,archexploration,32,83,49,0_0_1
149,11,28,30,5,46,0,0,1,577,1,archexploration,16,69,38,0_0_1
104,30,33,31,1,15,0,0,1,578,1,archexploration,31,78,59,0_0_1
148,38,35,49,2,46,0,0,1,579,1,archexploration,40,75,28,0_0_1
150,19,40,41,2,31,0,0,1,580,1,archexploration,21,92,41,0_0_1
141,10,49,44,3,13,0,0,1,581,1,archexploration,13,111,49,0_0_1
141,25,19,46,5,38,0,0,1,582,1,archexploration,30,63,34,0_0_1
116,8,23,15,4,22,0,0,1,583,1,archexploration,12,69,67,0_0_1
104,8,21,23,3,24,0,0,1,584,1,archexploration,11,61,59,0_0_1
101,0,34,45,3,44,0,0,1,585,1,archexploration,3,63,31,0_0_1
107,24,43,15,1,37,0,0,1,586,1,archexploration,25,77,54,0_0_1
128,7,45,38,1,38,0,0,1,587,1,archexploration,8,85,39,0_0_1
113,3,33,21,2,16,0,0,1,588,1,archexploration,5,81,67,0_0_1
133,33,20,22,3,40,0,0,1,589,1,archexploration,36,60,47,0_0_1
102,29,36,38,2,47,0,0,1,590,1,archexploration,31,64,33,0_0_1
147,5,45,18,4,43,0,0,1,591,1,archexploration,9,87,47,0_0_1
147,22,29,46,3,22,0,0,1,592,1,archexploration,25,87,43,0_0_1
133,16,19,32,1,30,0,0,1,593,1,archexploration,17,66,48,0_0_1
119,9,22,15,1,39,0,0,1,594,1,archexploration,10,59,52,0_0_1
129,27,10,25,2,12,0,0,1,595,1,archexploration,29,67,66,0_0_1
103,35,22,35,4,27,0,0,1,596,1,archexploration,39,60,48,0_0_1
118,19,20,39,3,10,0,0,1,597,1,archexploration,22,74,55,0_0_1
119,27,43,23,3,10,0,0,1,598,1,archexploration,30,97,70,0_0_1
125,30,48,34,2,49,0,0,1,599,1,archexploration,32,80,34,0_0_1
149,30,39,47,3,18,0,0,1,600,1,archexploration,33,101,44,0_0_1
148,6,14,29,3,30,0,0,1,601,1,archexploration,9,66,50,0_0_1
103,16,13,37,4,49,0,0,1,602,1,archexploration,20,40,33,0_0_1
111,11,40,48,4,16,0,0,1,603,1,archexploration,15,87,44,0_0_1
130,19,18,18,3,17,0,0,1,604,1,archexploration,22,72,69,0_0_1
144,1,10,39,5,16,0,0,1,605,1,archexploration,6,71,52,0_0_1
109,39,17,48,5,50,0,0,1,606,1,archexploration,44,45,26,0_0_1
136,15,10,42,5,36,0,0,1,607,1,archexploration,20,54,38,0_0_1
143,31,46,29,5,36,0,0,1,608,1,archexploration,36,92,46,0_0_1
148,6,47,35,1,26,0,0,1,609,1,archexploration,7,102,49,0_0_1
108,26,26,32,3,12,0,0,1,610,1,archexploration,29,74,60,0_0_1
110,37,41,50,2,38,0,0,1,611,1,archexploration,39,76,31,0_0_1
113,34,28,22,5,10,0,0,1,612,1,archexploration,39,79,71,0_0_1
150,37,35,49,2,31,0,0,1,613,1,archexploration,39,87,36,0_0_1
112,38,36,16,4,10,0,0,1,614,1,archexploration,42,87,76,0_0_1
143,24,42,27,4,50,0,0,1,615,1,archexploration,28,78,37,0_0_1
101,24,19,19,1,46,0,0,1,616,1,archexploration,25,47,44,0_0_1
144,16,47,26,4,48,0,0,1,617,1,archexploration,20,85,39,0_0_1
112,0,22,41,2,44,0,0,1,618,1,archexploration,2,54,34,0_0_1
120,8,45,21,3,47,0,0,1,619,1,archexploration,11,77,42,0_0_1
104,5,30,37,2,17,0,0,1,620,1,archexploration,7,74,53,0_0_1
118,21,15,33,2,41,0,0,1,621,1,archexploration,23,50,40,0_0_1
110,26,29,13,1,50,0,0,1,622,1,archexploration,27,57,44,0_0_1
116,1,39,16,3,23,0,0,1,623,1,archexploration,4,84,65,0_0_1
109,32,48,45,5,29,0,0,1,624,1,archexploration,37,87,40,0_0_1
101,14,39,11,2,11,0,0,1,625,1,archexploration,16,84,80,0_0_1
142,30,37,37,5,15,0,0,1,626,1,archexploration,35,98,54,0_0_1
145,5,24,10,5,31,0,0,1,627,1,archexploration,10,75,63,0_0_1
138,13,37,40,4,26,0,0,1,628,1,archexploration,17,89,45,0_0_1
106,1,12,31,4,32,0,0,1,629,1,archexploration,5,49,47,0_0_1
126,1,39,18,1,41,0,0,1,630,1,archexploration,2,77,49,0_0_1
103,34,11,37,3,35,0,0,1,631,1,archexploration,37,45,41,0_0_1
131,30,14,43,5,30,0,0,1,632,1,archexploration,35,60,40,0_0_1
115,17,44,31,1,41,0,0,1,633,1,archexploration,18,78,41,0_0_1
114,33,33,31,5,43,0,0,1,634,1,archexploration,38,66,40,0_0_1
119,26,20,29,1,32,0,0,1,635,1,archexploration,27,61,49,0_0_1
131,16,20,48,2,21,0,0,1,636,1,archexploration,18,72,42,0_0_1
123,40,23,49,3,49,0,0,1,637,1,archexploration,43,55,27,0_0_1
143,13,31,14,1,38,0,0,1,638,1,archexploration,14,76,54,0_0_1
110,10,27,25,3,25,0,0,1,639,1,archexploration,13,69,57,0_0_1
120,27,14,12,5,49,0,0,1,640,1,archexploration,32,45,45,0_0_1
141,12,24,26,5,35,0,0,1,641,1,archexploration,17,70,49,0_0_1
136,12,12,35,1,44,0,0,1,642,1,archexploration,13,51,37,0_0_1
123,29,46,38,2,36,0,0,1,643,1,archexploration,31,86,40,0_0_1
118,20,47,23,2,50,0,0,1,644,1,archexploration,22,77,39,0_0_1
125,2,20,33,1,34,0,0,1,645,1,archexploration,3,62,45,0_0_1
104,26,28,36,2,38,0,0,1,646,1,archexploration,28,61,40,0_0_1
139,18,22,42,5,19,0,0,1,647,1,archexploration,23,79,47,0_0_1
148,12,29,33,1,24,0,0,1,648,1,archexploration,13,86,51,0_0_1
117,3,10,11,3,26,0,0,1,649,1,archexploration,6,54,66,0_0_1
114,30,17,25,3,10,0,0,1,650,1,archexploration,33,69,68,0_0_1
100,21,13,42,3,34,0,0,1,651,1,archexploration,24,46,39,0_0_1
124,20,44,28,3,44,0,0,1,652,1,archexploration,23,79,41,0_0_1
120,3,18,27,3,49,0,0,1,653,1,archexploration,6,49,38,0_0_1
138,34,17,31,4,35,0,0,1,654,1,archexploration,38,62,45,0_0_1
134,2,23,49,3,42,0,0,1,655,1,archexploration,5,62,30,0_0_1
116,11,48,49,2,39,0,0,1,656,1,archexploration,13,84,32,0_0_1
121,33,45,32,3,33,0,0,1,657,1,archexploration,36,86,46,0_0_1
137,6,18,12,5,46,0,0,1,658,1,archexploration,11,55,48,0_0_1
119,10,21,40,1,20,0,0,1,659,1,archexploration,11,69,48,0_0_1
133,39,22,25,2,13,0,0,1,660,1,archexploration,41,80,66,0_0_1
112,40,24,31,5,45,0,0,1,661,1,archexploration,45,55,38,0_0_1
108,24,13,19,2,30,0,0,1,662,1,archexploration,26,51,57,0_0_1
139,35,43,35,4,32,0,0,1,663,1,archexploration,39,91,45,0_0_1
104,17,19,26,2,28,0,0,1,664,1,archexploration,19,57,54,0_0_1
112,38,38,34,2,25,0,0,1,665,1,archexploration,40,80,50,0_0_1
115,24,12,40,5,15,0,0,1,666,1,archexploration,29,61,51,0_0_1
143,20,41,39,1,44,0,0,1,667,1,archexploration,21,82,35,0_0_1
124,28,39,26,4,13,0,0,1,668,1,archexploration,32,93,65,0_0_1
100,10,11,13,3,17,0,0,1,669,1,archexploration,13,53,73,0_0_1
135,11,47,17,5,20,0,0,1,670,1,archexploration,16,101,67,0_0_1
112,9,17,35,5,32,0,0,1,671,1,archexploration,14,56,45,0_0_1
116,26,30,31,1,40,0,0,1,672,1,archexploration,27,65,42,0_0_1
146,28,25,50,2,35,0,0,1,673,1,archexploration,30,73,33,0_0_1
137,27,50,47,2,32,0,0,1,674,1,archexploration,29,97,37,0_0_1
125,4,16,39,2,47,0,0,1,675,1,archexploration,6,50,33,0_0_1
100,8,32,24,2,50,0,0,1,676,1,archexploration,10,57,38,0_0_1
122,23,12,25,3,50,0,0,1,677,1,archexploration,26,43,38,0_0_1
142,25,33,32,2,39,0,0,1,678,1,archexploration,27,77,42,0_0_1
108,19,40,15,2,24,0,0,1,679,1,archexploration,21,82,65,0_0_1
121,11,40,45,2,14,0,0,1,680,1,archexploration,13,93,48,0_0_1
137,16,39,24,4,13,0,0,1,681,1,archexploration,20,99,67,0_0_1
100,34,26,42,4,42,0,0,1,682,1,archexploration,38,55,34,0_0_1
106,36,41,17,1,30,0,0,1,683,1,archexploration,37,79,59,0_0_1
115,20,43,21,5,39,0,0,1,684,1,archexploration,25,79,49,0_0_1
102,28,42,24,5,20,0,0,1,685,1,archexploration,33,83,61,0_0_1
149,10,48,20,4,50,0,0,1,686,1,archexploration,14,86,40,0_0_1
111,12,49,36,4,26,0,0,1,687,1,archexploration,16,91,48,0_0_1
140,16,24,27,1,48,0,0,1,688,1,archexploration,17,61,38,0_0_1
115,39,20,50,1,16,0,0,1,689,1,archexploration,40,69,42,0_0_1
143,20,14,17,1,47,0,0,1,690,1,archexploration,21,52,44,0_0_1
132,13,48,38,4,49,0,0,1,691,1,archexploration,17,82,32,0_0_1
118,33,48,17,2,42,0,0,1,692,1,archexploration,35,83,49,0_0_1
104,4,45,26,1,28,0,0,1,693,1,archexploration,5,83,54,0_0_1
131,22,40,40,4,35,0,0,1,694,1,archexploration,26,83,39,0_0_1
142,5,37,33,5,39,0,0,1,695,1,archexploration,10,81,41,0_0_1
120,20,20,19,5,25,0,0,1,696,1,archexploration,25,65,61,0_0_1
118,3,33,32,5,35,0,0,1,697,1,archexploration,8,72,45,0_0_1
145,3,43,41,3,12,0,0,1,698,1,archexploration,6,107,52,0_0_1
